iter	MultiClass
0	0.6264439394
1	0.4883105354
2	0.4175028512
3	0.3809932814
4	0.3610879744
5	0.3478344731
6	0.3412766793
7	0.3357203215
8	0.3338274783
9	0.3314437047
10	0.3295099617
11	0.328685584
12	0.3270490897
13	0.3258956303
14	0.3253460758
15	0.3245927802
16	0.3234124591
17	0.3227073435
18	0.3223836406
19	0.3220243173
20	0.3218716358
21	0.3210669609
22	0.3204717937
23	0.3200542262
24	0.3195924159
25	0.3190362622
26	0.3186388498
27	0.3181319708
28	0.3179574182
29	0.3174643104
30	0.3170673919
31	0.3168050563
32	0.3165954971
33	0.3161506832
34	0.3159030137
35	0.3154945026
36	0.3151685741
37	0.3148819725
38	0.3143239588
39	0.3141677543
40	0.3139264369
41	0.3137795018
42	0.3132723748
43	0.3129842583
44	0.3126041336
45	0.3121841708
46	0.3119812957
47	0.3117546694
48	0.3114226696
49	0.3111980886
50	0.3108386293
51	0.3105767087
52	0.3103896076
53	0.3100926473
54	0.3098547093
55	0.3095316417
56	0.3092938569
57	0.3089521421
58	0.3085358959
59	0.3084082305
60	0.3082262001
61	0.3079968975
62	0.3078113061
63	0.3075146195
64	0.3073660966
65	0.3071480989
66	0.306835211
67	0.3065383188
68	0.3063682383
69	0.3060860489
70	0.3059106671
71	0.3055960486
72	0.305335216
73	0.3051332741
74	0.3049088181
75	0.3045739319
76	0.3042814711
77	0.3041699386
78	0.3038666959
79	0.3036084663
80	0.3034493977
81	0.3033099939
82	0.3030551839
83	0.3029512477
84	0.3029022923
85	0.3027908328
86	0.3024458923
87	0.3022720362
88	0.3019155198
89	0.3017504596
90	0.3015583169
91	0.3013346296
92	0.3011295478
93	0.300982178
94	0.3009064254
95	0.3007850978
96	0.3006024966
97	0.3003247835
98	0.3000255518
99	0.2998641313
