iter	Passed	Remaining
0	354	35075
1	782	38329
2	1152	37254
3	1531	36760
4	1873	35590
5	2339	36650
6	2825	37532
7	3216	36988
8	3633	36734
9	3969	35729
10	4299	34783
11	4596	33709
12	4900	32797
13	5173	31780
14	5488	31101
15	5862	30779
16	6204	30291
17	6534	29767
18	6822	29085
19	7178	28712
20	7569	28474
21	7876	27925
22	8197	27442
23	8483	26865
24	8860	26581
25	9248	26322
26	9622	26017
27	10011	25743
28	10344	25326
29	10639	24826
30	10964	24403
31	11309	24032
32	11569	23490
33	11885	23071
34	12218	22691
35	12558	22326
36	12954	22058
37	13339	21763
38	13694	21419
39	13964	20946
40	14283	20554
41	14594	20154
42	14881	19726
43	15296	19468
44	15712	19203
45	16145	18952
46	16475	18578
47	16771	18168
48	17076	17773
49	17369	17369
50	17637	16945
51	17969	16587
52	18299	16227
53	18568	15817
54	18881	15448
55	19219	15101
56	19532	14735
57	19828	14358
58	20176	14020
59	20495	13663
60	20850	13330
61	21180	12981
62	21578	12672
63	21923	12332
64	22283	11998
65	22723	11706
66	22977	11317
67	23261	10946
68	23537	10574
69	23833	10214
70	24170	9872
71	24447	9507
72	24780	9165
73	25152	8837
74	25517	8505
75	25841	8160
76	26169	7816
77	26448	7459
78	26743	7109
79	27060	6765
80	27413	6430
81	27699	6080
82	28080	5751
83	28460	5421
84	28791	5080
85	29150	4745
86	29509	4409
87	29831	4067
88	30085	3718
89	30456	3384
90	30807	3046
91	31222	2714
92	31530	2373
93	31935	2038
94	32285	1699
95	32643	1360
96	32968	1019
97	33299	679
98	33670	340
99	33940	0
