county;county_ascii;county_full;county_fips;state_id;state_name;lat;lng;population
Kings;Kings;Kings County;36047;NY;New York;40.6395;-73.9385;2589974
Queens;Queens;Queens County;36081;NY;New York;40.7023;-73.8203;2287388
New York;New York;New York County;36061;NY;New York;40.7781;-73.9675;1631993
Suffolk;Suffolk;Suffolk County;36103;NY;New York;40.8686;-72.8448;1483832
Bronx;Bronx;Bronx County;36005;NY;New York;40.85;-73.866;1435068
Nassau;Nassau;Nassau County;36059;NY;New York;40.7328;-73.5864;1356509
Westchester;Westchester;Westchester County;36119;NY;New York;41.1623;-73.7561;968890
Erie;Erie;Erie County;36029;NY;New York;42.764;-78.7323;919355
Monroe;Monroe;Monroe County;36055;NY;New York;43.1464;-77.6961;743341
Richmond;Richmond;Richmond County;36085;NY;New York;40.5808;-74.1524;474893
Onondaga;Onondaga;Onondaga County;36067;NY;New York;43.0058;-76.1946;462872
Orange;Orange;Orange County;36071;NY;New York;41.4021;-74.3055;380085
Rockland;Rockland;Rockland County;36087;NY;New York;41.1524;-74.0241;324422
Albany;Albany;Albany County;36001;NY;New York;42.6002;-73.9736;306968
Dutchess;Dutchess;Dutchess County;36027;NY;New York;41.7651;-73.7429;293754
Oneida;Oneida;Oneida County;36065;NY;New York;43.2417;-75.4359;229959
Saratoga;Saratoga;Saratoga County;36091;NY;New York;43.1074;-73.8639;228502
Niagara;Niagara;Niagara County;36063;NY;New York;43.2001;-78.7452;210820
Broome;Broome;Broome County;36007;NY;New York;42.1602;-75.8196;193188
Ulster;Ulster;Ulster County;36111;NY;New York;41.8881;-74.2586;178665
Rensselaer;Rensselaer;Rensselaer County;36083;NY;New York;42.7111;-73.5097;159185
Schenectady;Schenectady;Schenectady County;36093;NY;New York;42.8181;-74.0586;154859
Chautauqua;Chautauqua;Chautauqua County;36013;NY;New York;42.2282;-79.3663;128496
Oswego;Oswego;Oswego County;36075;NY;New York;43.4269;-76.1414;118339
Jefferson;Jefferson;Jefferson County;36045;NY;New York;44.0494;-75.921;112842
Ontario;Ontario;Ontario County;36069;NY;New York;42.8528;-77.2998;109511
St. Lawrence;St. Lawrence;St. Lawrence County;36089;NY;New York;44.4964;-75.0691;108913
Tompkins;Tompkins;Tompkins County;36109;NY;New York;42.452;-76.4736;102642
Putnam;Putnam;Putnam County;36079;NY;New York;41.4267;-73.7495;98787
Steuben;Steuben;Steuben County;36101;NY;New York;42.2678;-77.3838;96422
Wayne;Wayne;Wayne County;36117;NY;New York;43.1566;-77.0294;90519
Chemung;Chemung;Chemung County;36015;NY;New York;42.1413;-76.76;84895
Clinton;Clinton;Clinton County;36019;NY;New York;44.7462;-73.6782;80583
Cayuga;Cayuga;Cayuga County;36011;NY;New York;42.9175;-76.5545;77425
Cattaraugus;Cattaraugus;Cattaraugus County;36009;NY;New York;42.2486;-78.6789;77121
Sullivan;Sullivan;Sullivan County;36105;NY;New York;41.7164;-74.7681;75116
Madison;Madison;Madison County;36053;NY;New York;42.9128;-75.6696;71205
Warren;Warren;Warren County;36113;NY;New York;43.561;-73.846;64276
Livingston;Livingston;Livingston County;36051;NY;New York;42.7281;-77.7755;63591
Herkimer;Herkimer;Herkimer County;36043;NY;New York;43.4197;-74.9625;62057
Washington;Washington;Washington County;36115;NY;New York;43.3137;-73.4308;61616
Columbia;Columbia;Columbia County;36021;NY;New York;42.2501;-73.6318;60371
Otsego;Otsego;Otsego County;36077;NY;New York;42.6338;-75.0326;59972
Genesee;Genesee;Genesee County;36037;NY;New York;43.0009;-78.1938;57808
Fulton;Fulton;Fulton County;36035;NY;New York;43.1138;-74.4222;53646
Franklin;Franklin;Franklin County;36033;NY;New York;44.5929;-74.3038;50477
Montgomery;Montgomery;Montgomery County;36057;NY;New York;42.9023;-74.4397;49302
Tioga;Tioga;Tioga County;36107;NY;New York;42.1703;-76.3063;48686
Chenango;Chenango;Chenango County;36017;NY;New York;42.4935;-75.6116;47909
Cortland;Cortland;Cortland County;36023;NY;New York;42.595;-76.0703;47865
Greene;Greene;Greene County;36039;NY;New York;42.2765;-74.1227;47424
Allegany;Allegany;Allegany County;36003;NY;New York;42.2574;-78.0276;46688
Delaware;Delaware;Delaware County;36025;NY;New York;42.1981;-74.9665;44995
Orleans;Orleans;Orleans County;36073;NY;New York;43.2521;-78.2312;40904
Wyoming;Wyoming;Wyoming County;36121;NY;New York;42.7024;-78.2245;40305
Essex;Essex;Essex County;36031;NY;New York;44.1172;-73.7726;37459
Seneca;Seneca;Seneca County;36099;NY;New York;42.7811;-76.8238;34390
Schoharie;Schoharie;Schoharie County;36095;NY;New York;42.5882;-74.4421;31222
Lewis;Lewis;Lewis County;36049;NY;New York;43.7847;-75.4488;26572
Yates;Yates;Yates County;36123;NY;New York;42.6334;-77.1055;25011
Schuyler;Schuyler;Schuyler County;36097;NY;New York;42.3938;-76.8752;17920
Hamilton;Hamilton;Hamilton County;36041;NY;New York;43.6611;-74.4974;4515
